datetime,height,temperature
2022-06-20T04:05:00+03:00,50,14.2
2022-06-20T04:05:00+03:00,100,13.87
2022-06-20T04:05:00+03:00,150,13.47
2022-06-20T04:05:00+03:00,200,12.99
2022-06-20T04:05:00+03:00,250,12.54
2022-06-20T04:05:00+03:00,300,12.16
2022-06-20T04:05:00+03:00,350,11.79
2022-06-20T04:05:00+03:00,400,11.43
2022-06-20T04:05:00+03:00,450,11.07
2022-06-20T04:05:00+03:00,500,10.69
2022-06-20T04:05:00+03:00,550,10.31
2022-06-20T04:05:00+03:00,600,9.92
2022-06-20T04:10:00+03:00,0,13.94
2022-06-20T04:10:00+03:00,50,13.94
2022-06-20T04:10:00+03:00,100,13.75
2022-06-20T04:10:00+03:00,150,13.4
2022-06-20T04:10:00+03:00,200,13.06
2022-06-20T04:10:00+03:00,250,12.68
2022-06-20T04:10:00+03:00,300,12.29
2022-06-20T04:10:00+03:00,350,11.92
2022-06-20T04:10:00+03:00,400,11.57
2022-06-20T04:10:00+03:00,450,11.22
2022-06-20T04:10:00+03:00,500,10.85
2022-06-20T04:10:00+03:00,550,10.46
2022-06-20T04:10:00+03:00,600,10.07
2022-06-20T04:15:00+03:00,0,13.85
2022-06-20T04:15:00+03:00,50,13.94
2022-06-20T04:15:00+03:00,100,13.71
2022-06-20T04:15:00+03:00,150,13.32
2022-06-20T04:15:00+03:00,200,12.89
2022-06-20T04:15:00+03:00,250,12.46
2022-06-20T04:15:00+03:00,300,12.06
2022-06-20T04:15:00+03:00,350,11.68
2022-06-20T04:15:00+03:00,400,11.32
2022-06-20T04:15:00+03:00,450,10.96
2022-06-20T04:15:00+03:00,500,10.59
2022-06-20T04:15:00+03:00,550,10.2
2022-06-20T04:15:00+03:00,600,9.82
2022-06-20T04:20:00+03:00,0,14.05
2022-06-20T04:20:00+03:00,50,14.07
2022-06-20T04:20:00+03:00,100,13.76
2022-06-20T04:20:00+03:00,150,13.38
2022-06-20T04:20:00+03:00,200,12.96
2022-06-20T04:20:00+03:00,250,12.56
2022-06-20T04:20:00+03:00,300,12.14
2022-06-20T04:20:00+03:00,350,11.75
2022-06-20T04:20:00+03:00,400,11.4
2022-06-20T04:20:00+03:00,450,11.05
2022-06-20T04:20:00+03:00,500,10.68
2022-06-20T04:20:00+03:00,550,10.3
2022-06-20T04:20:00+03:00,600,9.92
2022-06-20T04:25:00+03:00,0,14.03
2022-06-20T04:25:00+03:00,50,13.99
2022-06-20T04:25:00+03:00,100,13.62
2022-06-20T04:25:00+03:00,150,13.18
2022-06-20T04:25:00+03:00,200,12.8
2022-06-20T04:25:00+03:00,250,12.39
2022-06-20T04:25:00+03:00,300,11.97
2022-06-20T04:25:00+03:00,350,11.6
2022-06-20T04:25:00+03:00,400,11.26
2022-06-20T04:25:00+03:00,450,10.93
2022-06-20T04:25:00+03:00,500,10.59
2022-06-20T04:25:00+03:00,550,10.23
2022-06-20T04:25:00+03:00,600,9.88
2022-06-20T04:30:00+03:00,0,14.02
2022-06-20T04:30:00+03:00,50,13.88
2022-06-20T04:30:00+03:00,100,13.52
2022-06-20T04:30:00+03:00,150,13.08
2022-06-20T04:30:00+03:00,200,12.68
2022-06-20T04:30:00+03:00,250,12.25
2022-06-20T04:30:00+03:00,300,11.87
2022-06-20T04:30:00+03:00,350,11.52
2022-06-20T04:30:00+03:00,400,11.18
2022-06-20T04:30:00+03:00,450,10.85
2022-06-20T04:30:00+03:00,500,10.52
2022-06-20T04:30:00+03:00,550,10.17
2022-06-20T04:30:00+03:00,600,9.83
2022-06-20T04:35:00+03:00,0,13.87
2022-06-20T04:35:00+03:00,50,13.76
2022-06-20T04:35:00+03:00,100,13.42
2022-06-20T04:35:00+03:00,150,13.07
2022-06-20T04:35:00+03:00,200,12.68
2022-06-20T04:35:00+03:00,250,12.31
2022-06-20T04:35:00+03:00,300,11.92
2022-06-20T04:35:00+03:00,350,11.56
2022-06-20T04:35:00+03:00,400,11.23
2022-06-20T04:35:00+03:00,450,10.9
2022-06-20T04:35:00+03:00,500,10.55
2022-06-20T04:35:00+03:00,550,10.2
2022-06-20T04:35:00+03:00,600,9.84
2022-06-20T04:40:00+03:00,0,13.9
2022-06-20T04:40:00+03:00,50,13.71
2022-06-20T04:40:00+03:00,100,13.39
2022-06-20T04:40:00+03:00,150,13.05
2022-06-20T04:40:00+03:00,200,12.67
2022-06-20T04:40:00+03:00,250,12.31
2022-06-20T04:40:00+03:00,300,12.03
2022-06-20T04:40:00+03:00,350,11.74
2022-06-20T04:40:00+03:00,400,11.43
2022-06-20T04:40:00+03:00,450,11.13
2022-06-20T04:40:00+03:00,500,10.83
2022-06-20T04:40:00+03:00,550,10.51
2022-06-20T04:40:00+03:00,600,10.19
2022-06-20T04:45:00+03:00,0,13.71
2022-06-20T04:45:00+03:00,50,13.65
2022-06-20T04:45:00+03:00,100,13.36
2022-06-20T04:45:00+03:00,150,12.96
2022-06-20T04:45:00+03:00,200,12.6
2022-06-20T04:45:00+03:00,250,12.23
2022-06-20T04:45:00+03:00,300,11.95
2022-06-20T04:45:00+03:00,350,11.66
2022-06-20T04:45:00+03:00,400,11.34
2022-06-20T04:45:00+03:00,450,11.05
2022-06-20T04:45:00+03:00,500,10.76
2022-06-20T04:45:00+03:00,550,10.45
2022-06-20T04:45:00+03:00,600,10.15
2022-06-20T04:50:00+03:00,0,13.6
2022-06-20T04:50:00+03:00,50,13.52
2022-06-20T04:50:00+03:00,100,13.28
2022-06-20T04:50:00+03:00,150,12.94
2022-06-20T04:50:00+03:00,200,12.66
2022-06-20T04:50:00+03:00,250,12.38
2022-06-20T04:50:00+03:00,300,11.98
2022-06-20T04:50:00+03:00,350,11.63
2022-06-20T04:50:00+03:00,400,11.32
2022-06-20T04:50:00+03:00,450,11.01
2022-06-20T04:50:00+03:00,500,10.69
2022-06-20T04:50:00+03:00,550,10.34
2022-06-20T04:50:00+03:00,600,10.0
2022-06-20T04:55:00+03:00,0,13.65
2022-06-20T04:55:00+03:00,50,13.48
2022-06-20T04:55:00+03:00,100,13.16
2022-06-20T04:55:00+03:00,150,12.85
2022-06-20T04:55:00+03:00,200,12.47
2022-06-20T04:55:00+03:00,250,12.21
2022-06-20T04:55:00+03:00,300,11.9
2022-06-20T04:55:00+03:00,350,11.6
2022-06-20T04:55:00+03:00,400,11.3
2022-06-20T04:55:00+03:00,450,11.02
2022-06-20T04:55:00+03:00,500,10.73
2022-06-20T04:55:00+03:00,550,10.43
2022-06-20T04:55:00+03:00,600,10.12
2022-06-20T05:00:00+03:00,0,13.57
2022-06-20T05:00:00+03:00,50,13.4
2022-06-20T05:00:00+03:00,100,13.11
2022-06-20T05:00:00+03:00,150,12.8
2022-06-20T05:00:00+03:00,200,12.47
2022-06-20T05:00:00+03:00,250,12.1
2022-06-20T05:00:00+03:00,300,11.78
2022-06-20T05:00:00+03:00,350,11.47
2022-06-20T05:00:00+03:00,400,11.15
