[2022-07-19 17:42:41,617] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:42:46,667] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-04-06.json
[2022-07-19 17:42:46,668] INFO: Trying to get data on 13.04.2013
[2022-07-19 17:42:54,909] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:42:59,967] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-04-13.json
[2022-07-19 17:42:59,968] INFO: Trying to get data on 20.04.2013
[2022-07-19 17:43:11,362] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:43:16,410] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-04-20.json
[2022-07-19 17:43:16,411] INFO: Trying to get data on 27.04.2013
[2022-07-19 17:43:24,547] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:43:29,602] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-04-27.json
[2022-07-19 17:43:29,602] INFO: Trying to get data on 04.05.2013
[2022-07-19 17:43:37,686] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:43:42,724] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-05-04.json
[2022-07-19 17:43:42,726] INFO: Trying to get data on 11.05.2013
[2022-07-19 17:43:52,825] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2
[2022-07-19 17:43:57,867] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-05-11.json
[2022-07-19 17:43:57,867] INFO: Trying to get data on 18.05.2013
[2022-07-19 17:44:05,980] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 2; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2
[2022-07-19 17:44:11,024] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-05-18.json
[2022-07-19 17:44:11,024] INFO: Trying to get data on 25.05.2013
[2022-07-19 17:44:22,377] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2
[2022-07-19 17:44:27,431] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-05-25.json
[2022-07-19 17:44:27,432] INFO: Trying to get data on 01.06.2013
[2022-07-19 17:44:35,664] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 1; Черемхово — 2
[2022-07-19 17:44:40,705] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-06-01.json
[2022-07-19 17:44:40,705] INFO: Trying to get data on 08.06.2013
[2022-07-19 17:44:49,012] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 1; Черемхово — 2
[2022-07-19 17:44:54,051] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-06-08.json
[2022-07-19 17:44:54,052] INFO: Trying to get data on 15.06.2013
[2022-07-19 17:45:02,589] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 1; Черемхово — 2
[2022-07-19 17:45:07,627] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-06-15.json
[2022-07-19 17:45:07,628] INFO: Trying to get data on 22.06.2013
[2022-07-19 17:45:17,361] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 1; Черемхово — 2
[2022-07-19 17:45:22,380] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-06-22.json
[2022-07-19 17:45:22,381] INFO: Trying to get data on 29.06.2013
[2022-07-19 17:45:30,574] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 1; Черемхово — 2
[2022-07-19 17:45:35,593] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-06-29.json
[2022-07-19 17:45:35,593] INFO: Trying to get data on 06.07.2013
[2022-07-19 17:45:43,831] INFO: Extracted data for stations in cities: Ангарск — 2; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 1
[2022-07-19 17:45:48,854] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-07-06.json
[2022-07-19 17:45:48,855] INFO: Trying to get data on 13.07.2013
[2022-07-19 17:46:02,092] INFO: Extracted data for stations in cities: Ангарск — 1; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 1
